session_key,run_id,broad_no,user_id,category_id,cluster_aware_review_group,score_cluster_aware_consensus,cluster_number,silver_suspicious,gmm_cluster,gmm_max_prob,hdbscan_cluster,score_rule_directional,score_gmm_cluster_aware_rule,score_hdbscan_cluster_aware_rule,viewer_med,viewer_max,chat_mean,unique_mean,zero_rate,zrun_max,gap_med,gap_max,n,start,end
119_18888100,119,18888100,fd3b54f2ce729c7a7172ed639720632d,이터널 리턴,low_priority,0.6906004776526783,0,0,3,0.9996927996508594,1,0.47123848515864897,0.6644341801385681,0.6564495530012772,1477.0,1592.0,23.77685950413224,14.355371900826446,0.0,0,4.164303150829011,5.860786223465865,121,2026-05-14 20:00:00,2026-05-14 22:00:00
117_18885330,117,18885330,19eb0acaace563a6fc66bae5fabf3a22,마비노기,low_priority,0.6899522347321733,1,1,5,0.9861792183390417,-1,0.9506141248720572,0.3178947368421053,0.8847852760736197,225.0,274.0,2.341666666666667,1.6416666666666666,0.4333333333333333,7,4.729575835019485,5.594711379601839,120,2026-05-14 15:00:00,2026-05-14 17:00:00
139_18996179,139,18996179,f26f5a2d1336f15cb2f3bc9513ab2501,메이플스토리,low_priority,0.6896622313203684,0,0,0,0.9999685454937954,0,0.6866939611054248,0.6033854166666667,0.5907303370786516,375.0,411.0,10.5327868852459,7.80327868852459,0.0327868852459016,1,3.650654868032233,5.993961427306569,122,2026-05-20 20:00:00,2026-05-20 22:01:00
163_19102659,163,19102659,22d485f7753a7102e2e8cce6c9ff1fcb,talk,low_priority,0.6887922210849539,0,0,3,0.9998888541483573,1,0.45097236438075744,0.6665127020785219,0.6638569604086845,471.0,627.0,16.434782608695652,9.956521739130435,0.0,0,3.3853867756355127,5.513428746164983,69,2026-05-26 20:00:00,2026-05-26 21:08:00
143_19012262,143,19012262,769efbb252d48296224621451c6a1d9a,이스케이프 프롬 타르코프,low_priority,0.6880928010917776,0,0,0,0.9935233630839742,0,0.7065506653019448,0.5986979166666667,0.5853932584269663,369.0,488.0,8.462809917355372,5.520661157024794,0.0082644628099173,1,3.8094364166530448,5.849324779946859,121,2026-05-21 20:00:00,2026-05-21 22:01:00
171_19138209,171,19138209,888bdc1e2fbe68322574cbe883b34ee4,패스 오브 엑자일 2,low_priority,0.6868986693961104,0,0,3,0.9999146013171736,1,0.45066530194472876,0.6648960739030023,0.6615581098339719,380.0,411.0,14.82051282051282,9.346153846153848,0.0,0,3.2599387304838348,5.244389024522481,78,2026-05-28 20:00:00,2026-05-28 21:17:00
140_18999153,140,18999153,7efa5b40ee1729ac57d3adbebf3ddb3c,데드 바이 데이라이트,low_priority,0.6865574889116343,0,0,3,0.9985861191194765,1,0.47625383828045037,0.6595842956120093,0.6498084291187739,1956.0,2130.0,23.181818181818183,15.991735537190085,0.0,0,4.410776047959867,6.020537794593689,121,2026-05-20 23:00:00,2026-05-21 01:00:00
42_18413399,42,18413399,bbbe4175c62d79e87038583e26bd922d,던전앤파이터,low_priority,0.6861480723302628,0,0,6,0.9992273731749122,-1,0.8409416581371545,0.4668032786885246,0.6599999999999999,310.0,412.0,5.75,4.041666666666667,0.0666666666666666,3,4.042445586677241,5.8888779583328805,120,2026-04-17 23:00:00,2026-04-18 01:00:00
161_19098219,161,19098219,58c857c619dbc62110f025c382265abe,메이플스토리,low_priority,0.6860968952575913,0,0,3,0.9999457291090731,1,0.47436028659160706,0.6553117782909931,0.6535121328224776,126.0,156.0,8.801652892561984,4.636363636363637,0.0,0,2.730029107820985,4.283586561860629,121,2026-05-26 15:00:00,2026-05-26 17:01:00
168_19123138,168,19123138,95dce22a7af42be99eaaef19619ebf25,이스케이프 프롬 타르코프,low_priority,0.684919822586148,0,0,0,0.9999844874259219,0,0.6975435005117707,0.5981770833333333,0.5856741573033708,515.5,604.0,12.254098360655735,8.532786885245901,0.0327868852459016,1,3.93279355338058,6.304448802421981,122,2026-05-27 23:00:00,2026-05-28 01:01:00
136_18986019,136,18986019,0de024a1ca4a64f1a23a95ff9eeee5a5,친구모아 아일랜드 두근두근 라이프,low_priority,0.6846127601501194,0,0,3,0.9998620050515633,1,0.44943705220061414,0.6639722863741339,0.6597701149425287,630.5,722.0,18.827868852459016,10.42622950819672,0.0,0,3.501597660241969,5.72194977861165,122,2026-05-19 23:00:00,2026-05-20 01:01:00
101_18816683,101,18816683,c100f81959d1c17044be0541eed56f5b,메이플스토리 월드,low_priority,0.6841009894234049,0,0,3,0.9996225081298795,1,0.4786079836233368,0.6579676674364896,0.6480204342273308,1442.0,1895.0,23.99173553719008,15.975206611570249,0.0,0,4.514287689510919,6.615395616979245,121,2026-05-10 15:00:00,2026-05-10 17:00:00
134_18977425,134,18977425,0e604eba7206f04b1e5f15e0a1cb2616,스타크래프트 : 리마스터,low_priority,0.6833333333333332,0,0,3,0.999814788341255,1,0.4606960081883316,0.6602771362586605,0.6531289910600255,1009.0,1654.0,22.950413223140497,14.396694214876034,0.0,0,3.972176928247893,5.932245187448011,121,2026-05-19 17:00:00,2026-05-19 19:00:00
170_19134008,170,19134008,dbd6e0689ff9debf8bb00a415786654c,리그 오브 레전드,low_priority,0.6829409757761856,0,0,3,0.9999259584786971,1,0.44902763561924264,0.661662817551963,0.6584929757343551,337.5,480.0,14.475409836065571,8.549180327868852,0.0,0,3.1755380420622075,5.135798437050262,122,2026-05-28 17:00:00,2026-05-28 19:01:00
157_19081723,157,19081723,416d86cee659cca1320eac67f0e6fc22,이스케이프 프롬 타르코프,low_priority,0.682804503582395,0,0,6,0.9997242068786272,-1,0.793551688843398,0.4954918032786885,0.6485889570552148,130.5,164.0,5.2,3.4,0.1083333333333333,4,3.2399711536050324,4.976733742420574,120,2026-05-25 15:00:00,2026-05-25 17:01:00
137_18991188,137,18991188,6a09c296e5e12ad5ed67e053f8cc98d5,로스트아크,low_priority,0.6824633230979188,1,1,5,0.9999655522219905,-1,0.9435005117707267,0.3136842105263158,0.874601226993865,169.0,191.0,2.1885245901639343,1.5327868852459017,0.3688524590163934,10,4.415782939560532,5.198497031265826,122,2026-05-20 15:00:00,2026-05-20 17:01:00
141_19010551,141,19010551,95dce22a7af42be99eaaef19619ebf25,이스케이프 프롬 타르코프,low_priority,0.6817809621289662,0,0,6,0.9989365688168497,-1,0.8370522006141249,0.46229508196721303,0.6612269938650306,329.0,397.0,6.479338842975206,4.859504132231405,0.1074380165289256,3,4.094344562222101,5.966146739123692,121,2026-05-21 15:00:00,2026-05-21 17:00:00
158_19081887,158,19081887,714205d014f45e311dcfdafcf9e7400f,포르자 호라이즌 6,low_priority,0.6809109518935518,0,0,0,0.9971597648086464,0,0.6665813715455476,0.6023437500000001,0.5896067415730337,257.0,274.0,9.264462809917354,5.851239669421488,0.024793388429752,1,3.211576522386589,5.575949103146316,121,2026-05-25 17:00:00,2026-05-25 19:00:00
101_18817868,101,18817868,17a4bfff01d96ffad065f641ce90bdde,로스트아크,low_priority,0.6807744796997612,0,0,3,0.9999245351561354,1,0.44738996929375646,0.6602771362586605,0.656449553001277,321.0,362.0,13.942622950819672,9.204918032786884,0.0,0,3.185303609340248,4.90527477843843,122,2026-05-10 15:00:00,2026-05-10 17:01:00
120_18890603,120,18890603,2708947b66f527fd74e6b3d6bcc1349b,talk,low_priority,0.6806550665301945,0,0,3,0.9998637469032629,1,0.44626407369498466,0.6605080831408776,0.6561941251596424,692.5,748.0,20.49180327868853,10.491803278688524,0.0,0,3.5162953185640675,5.501258210544727,122,2026-05-14 23:00:00,2026-05-15 01:01:00
145_19027098,145,19027098,720b53dfe8d1f8321622c8514eded131,승리의 여신: 니케,low_priority,0.6802115319003753,0,0,3,0.9999378486239041,1,0.48126919140225183,0.6498845265588915,0.6482758620689655,106.0,120.0,6.655737704918033,4.745901639344262,0.0,0,2.6692103677859462,4.07753744390572,122,2026-05-22 15:00:00,2026-05-22 17:01:00
158_19081740,158,19081740,21a0de8b586c517181d76f183272de57,리그 오브 레전드,low_priority,0.680058000682361,0,0,0,0.9998070807385108,0,0.686028659160696,0.5976562500000001,0.5853932584269663,313.0,509.0,10.851239669421489,6.702479338842975,0.024793388429752,1,3.6041382256588457,5.924255797414532,121,2026-05-25 17:00:00,2026-05-25 19:01:00
113_18869120,113,18869120,4d0b7d3f825ea982b95f0a5c2b4782d3,talk,low_priority,0.6798021153190037,0,0,3,0.9998726525703315,1,0.4534288638689866,0.6581986143187066,0.6521072796934867,1024.0,1170.0,21.90909090909091,13.983471074380166,0.0,0,3.835861644462582,5.679319002477826,121,2026-05-13 15:00:00,2026-05-13 17:00:00
